County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Bladder/Male
"Kent County, Rhode Island(6,10)",44003,***,47.5,41.3,54.3,45,falling,-7.6,-13.7,-1.2,
"Effingham County, Illinois(6,10)",17049,***,47.5,34.4,63.9,9,stable,-12.9,-45,37.9,
"Yalobusha County, Mississippi(6,10)",28161,***,47.4,27.1,77.7,3,*,*,*,*,
"Northumberland County, Pennsylvania(6,10)",42097,***,47.4,39.8,56,29,stable,-7.6,-31.9,25.4,
"Bennington County, Vermont(6,10)",50003,***,47.4,36.3,61.3,13,stable,-14.8,-32.9,8.2,
"Ashland County, Wisconsin(6,10)",55003,***,47.3,29.3,72.7,4,stable,-21,-38.4,1.3,
"Cumberland County, Maine(6,10)",23005,***,47.2,42.3,52.5,72,stable,-6.8,-25.1,16,
"Muskingum County, Ohio(6,10)",39119,***,47.2,38.7,57,23,stable,-7.2,-21,9,
"Alleghany County and Clifton Forge City, Virginia(6,10)",51005,***,47.1,29.9,71.7,5,stable,34.3,-21.3,129,
"Henderson County, Kentucky(7,8)",21101,***,47,35.3,61.5,12,stable,-0.8,-4.5,2.9,
"Hunterdon County, New Jersey(7,8)",34019,***,47,39.8,55.2,33,rising,1.2,0.4,2,
"Cooper County, Missouri(6,10)",29053,***,47,29.3,71.6,4,stable,6.1,-26.5,53,
"Jefferson County, Missouri(6,10)",29099,***,47,41,53.7,49,stable,0.6,-8.8,11.1,
"Carroll County, New Hampshire(6,10)",33003,***,47,37.7,58.4,19,stable,-0.5,-5.9,5.3,
"Oconee County, South Carolina(6,10)",45073,***,47,38.4,57,24,stable,-1.5,-22.4,25,
"Lincoln County, Montana(6,10)",30053,***,47,33.1,66.3,8,stable,-19.7,-37.3,2.6,
"Lewis County, Washington(6,10)",53041,***,47,38.6,56.7,23,stable,7,-14.6,34.1,
"Union County, Kentucky(7,8)",21225,***,46.9,26.7,76.4,3,stable,1.2,-4.8,7.6,
"Minnehaha County, South Dakota(6,10)",46099,***,46.9,40,54.6,35,stable,-9.1,-21.5,5.2,
"Laramie County, Wyoming(6,10)",56021,***,46.9,38.4,56.8,22,stable,-3.3,-19.3,15.8,
"Marshall County, Iowa(7,8)",19127,***,46.9,35.5,61,12,stable,0.1,-1.8,2.1,
"Pike County, Indiana(6,10)",18125,***,46.9,27.9,75.1,4,stable,-14.6,-44.9,32.6,
"Oconto County, Wisconsin(6,10)",55083,***,46.9,35.2,61.5,11,stable,2.9,-16.3,26.5,
"Rhea County, Tennessee(6,10)",47143,***,46.9,34,63.3,9,stable,15.9,-15,57.9,
"DeKalb County, Indiana(6,10)",18033,***,46.8,34.4,62.3,10,stable,-8.6,-35.1,28.8,
"Tehama County, California(7,8)",6103,***,46.8,37.5,57.9,18,stable,0.3,-1.7,2.4,
"Clay County, Alabama(6,10)",1027,***,46.8,28.6,73.5,4,stable,-9.8,-28.9,14.3,
"Tolland County, Connecticut(7,8)",9013,***,46.7,39.8,54.6,34,stable,0.2,-0.7,1.1,
"Cabell County, West Virginia(6,10)",54011,***,46.7,38.6,56.1,24,stable,7.5,-19.9,44.3,
"LaPorte County, Indiana(6,10)",18091,***,46.7,39,55.4,28,stable,-7.4,-19.5,6.5,
"Latah County, Idaho(6,10)",16057,***,46.6,32.6,64.6,8,stable,-13.7,-28.5,4.2,
"Nelson County, Virginia(6,10)",51125,***,46.6,28.3,73.4,5,stable,-14.8,-58.2,73.7,
"Jefferson County, Indiana(6,10)",18077,***,46.6,32.9,64.2,8,stable,-11.1,-46,46.1,
"Broome County, New York(6,10)",36007,***,46.6,41.1,52.6,54,stable,-9.1,-22.5,6.8,
"Ramsey County, North Dakota(6,10)",38071,***,46.6,26.8,76.2,3,*,*,*,*,
"Lehigh County, Pennsylvania(6,10)",42077,***,46.5,42.3,51.2,89,stable,-3.1,-10.7,5.2,
"Carroll County, Maryland(6,10)",24013,***,46.5,40.1,53.7,40,stable,3.7,-15,26.6,
"Stark County, Ohio(6,10)",39151,***,46.5,42.5,50.9,102,stable,-3,-16.6,12.9,
"Adair County, Kentucky(7,8)",21001,***,46.5,29.4,70.3,5,stable,-1,-5.6,3.8,
"Cherokee County, Iowa(7)",19035,***,46.5,28.7,73.4,4,*,*,*,*,
"Aroostook County, Maine(6,10)",23003,***,46.4,38.2,56.2,23,stable,0.2,-23.1,30.6,
"Clearwater County, Idaho(6,10)",16035,***,46.4,27,78.3,4,stable,8.4,-69.6,286.7,
"Delaware County, Indiana(6,10)",18035,***,46.4,39,54.8,28,stable,4.9,-15,29.5,
"Perry County, Arkansas(6,10)",5105,***,46.4,26.3,77.6,3,*,*,*,*,
"Walworth County, Wisconsin(6,10)",55127,***,46.4,38.5,55.5,25,stable,-6.2,-20.2,10.2,
"Lincoln County, West Virginia(6,10)",54043,***,46.4,30.6,67.9,6,stable,-12.2,-47,45.7,
"Clinton County, Pennsylvania(6,10)",42035,***,46.3,34.8,60.8,11,stable,-7.3,-32.1,26.5,
"Manistee County, Michigan(6,10)",26101,***,46.3 #  ,33.6,63.1,9,stable,-3.6,-18,13.2,
"Wells County, Indiana(6,10)",18179,***,46.3,32.4,64.4,7,stable,2.7,-14.6,23.6,
