County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"Cleveland County, North Carolina(6,10)",37045,***,5.5,3.3,8.8,4,stable,3.9,-24.4,42.8,
"Trumbull County, Ohio(6,10)",39155,***,5.5,3.9,7.5,9,stable,1.7,-32.6,53.4,
"Middlesex County, New Jersey(7,8)",34023,***,5.5,4.6,6.5,28,falling,-1.8,-2.8,-0.7,
"Midland County, Texas(6,10)",48329,***,5.5,3.2,8.5,4,stable,2.3,-37.9,68.7,
"Miami-Dade County, Florida(6,10)",12086,***,5.4,5,6,95,stable,-3,-9.3,3.8,
"Alameda County, California(7,8)",6001,***,5.4,4.7,6.2,48,falling,-1,-1.8,-0.2,
"Merced County, California(7,8)",6047,***,5.4,3.7,7.6,7,stable,-2.7,-5.8,0.4,
"Nash County, North Carolina(6,10)",37127,***,5.4,3.1,8.9,3,*,*,*,*,
"Houston County, Georgia(7)",13153,***,5.4,3.3,8.3,4,*,*,*,*,
"Santa Clara County, California(7,8)",6085,***,5.4,4.8,6.1,54,stable,-1.7,-3.7,0.3,
"Litchfield County, Connecticut(7,8)",9005,***,5.4,3.7,7.7,7,stable,-0.5,-2.6,1.7,
"Hampton City, Virginia(6,10)",51650,***,5.4,3.3,8.3,4,stable,-1.7,-32.2,42.6,
"Catawba County, North Carolina(6,10)",37035,***,5.4,3.5,7.9,6,stable,6.7,-14.3,32.9,
"Greene County, Ohio(6,10)",39057,***,5.4,3.5,7.9,6,stable,9.4,-27.4,65,
"Prince William County, Virginia(6,10)",51153,***,5.3,3.9,7.2,10,stable,0.8,-29.4,43.8,
"Mahoning County, Ohio(6,10)",39099,***,5.3,4,7.1,11,stable,-5.1,-24.6,19.4,
"Madera County, California(7,8)",6039,***,5.3,3.3,8.2,4,stable,-1.5,-6.8,4.1,
"Outagamie County, Wisconsin(6,10)",55087,***,5.3,3.5,7.9,5,stable,7.1,-10.6,28.2,
"Stanislaus County, California(7,8)",6099,***,5.3,4.2,6.7,15,stable,1.7,-2.3,5.8,
"Cuyahoga County, Ohio(6,10)",39035,***,5.3,4.6,6,50,stable,-5.1,-18.3,10.4,
"Macomb County, Michigan(7,8)",26099,***,5.3,4.5,6.2,32,stable,-0.9,-2,0.3,
"Fort Bend County, Texas(6,10)",48157,***,5.3,4.1,6.6,16,stable,-2.7,-28.8,33,
"Orange County, New York(6,10)",36071,***,5.3,4,6.9,12,stable,-4.3,-16.6,9.7,
