,data_provider_id,taxonomy_id,taxonomy_entry_code,data_provider_name,taxonomy_name,taxonomy_entry_category,taxonomy_entry_name,seg1,seg1_total,seg1_uu,seg1_pct,seg2,seg2_total,seg2_uu,seg2_pct,index
95877,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,parent_helpers,14273,673,0.05,random,14074,906,0.06,73
106169,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,parent_helpers,14273,5966,0.42,status_conscious,12977,5969,0.46,91
106559,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,parent_helpers,14273,8327,0.58,status_conscious,12977,8525,0.66,89
106689,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,parent_helpers,14273,9812,0.69,status_conscious,12977,10110,0.78,88
106721,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,parent_helpers,14273,9223,0.65,status_conscious,12977,9542,0.74,88
107028,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,parent_helpers,14273,2791,0.2,status_conscious,12977,2951,0.23,86
107120,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,parent_helpers,14273,440,0.03,status_conscious,12977,470,0.04,85
107133,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,parent_helpers,14273,909,0.06,status_conscious,12977,968,0.07,85
107884,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,parent_helpers,14273,673,0.05,status_conscious,12977,793,0.06,77
115552,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,pragmatic_buyers,16928,926,0.05,big_life_events,18199,948,0.05,105
